codigo,latitude,longitude,municipio,uf,bolsapib,rural,analfabetismo,saneamentoruim
1200500,"-1687,0821","-1119,1919",sena madureira,AC,"12,33","47,87","24,75","91,38"
1200609,"-1921,6841","-952,94382",tarauaca,AC,"16,14","45,63","31,13","95,29"
1200708,"-1586,9205","-1206,4212",xapuri,AC,"9,86","35,80","22,24","81,18"
1200807,"-1503,4688","-1094,9342",porto acre,AC,"11,24","86,68","23,50","97,91"
1300029,"-1258,6751","-417,33828",alvaraes,AM,"27,24","44,02","20,55","81,82"
1300060,"-1587,5947","-389,78722",amatura,AM,"36,20","47,61","22,43","93,35"
1300086,"-857,42684","-390,81676",anama,AM,"26,93","59,13","15,88","96,18"
1300102,"-896,29166","-467,60958",anori,AM,"24,33","38,71","19,62","98,20"
1300144,"-599,14278","-861,89101",apui,AM,"13,90","41,16","10,79","98,50"
1300201,"-1965,1225","-662,2312",atalaia do norte,AM,"27,48","54,51","35,87","99,31"
1300300,"-614,09999","-420,94377",autazes,AM,"28,03","56,77","15,75","91,37"
1300409,"-1050,158","-52,13197",barcelos,AM,"30,24","56,62","34,02","85,80"
1300508,"-352,62519","-346,53274",barreirinha,AM,"34,82","54,60","10,29","98,11"
1300607,"-1803,5814","-624,79162",benjamin constant,AM,"33,64","39,73","21,89","89,06"
1300631,"-864,0902","-513,8032",beruri,AM,"23,09","49,77","25,48","84,03"
1300680,"-407,93007","-347,7096",boa vista do ramos,AM,"31,41","49,60","7,97","71,59"
1300706,"-1545,3622","-998,96584",boca do acre,AM,"28,23","36,84","26,75","95,31"
1300805,"-613,87808","-550,63517",borba,AM,"35,14","58,71","15,80","93,34"
1300839,"-875,68379","-344,0193",caapiranga,AM,"19,66","53,17","15,07","93,65"
1300904,"-1114,5336","-831,20055",canutama,AM,"33,66","47,54","29,54","92,18"
1301001,"-1478,7387","-581,51879",carauari,AM,"30,12","23,40","28,07","77,78"
1301100,"-686,80913","-419,39206",careiro,AM,"35,11","71,17","13,76","89,08"
1301159,"-622,31807","-365,1184",careiro da varzea,AM,"26,80","95,82","16,46","99,76"
1301209,"-1123,6933","-498,47561",coari,AM,"6,90","34,64","17,03","83,53"
1301308,"-997,33391","-368,01581",codajas,AM,"28,15","31,89","18,71","77,53"
1301407,"-1792,0483","-807,72013",eirunepe,AM,"38,23","27,72","33,19","95,62"
1301506,"-1771,3765","-870,2578",envira,AM,"36,25","35,41","32,89","98,90"
1301605,"-1374,4869","-282,02144",fonte boa,AM,"32,77","33,76","24,66","98,31"
1301654,"-2080,7103","-842,5103",guajara,AM,"34,36","46,85","31,50","96,10"
1301704,"-936,7868","-823,03135",humaita,AM,"21,55","31,04","16,93","85,94"
1301803,"-1923,1909","-830,69915",ipixuna,AM,"24,91","57,32","38,41","98,87"
1301852,"-720,40301","-344,43328",iranduba,AM,"21,10","28,94","13,24","89,07"
1301902,"-531,00068","-352,24821",itacoatiara,AM,"9,92","33,03","9,12","80,70"
1301951,"-1560,5434","-761,40802",itamarati,AM,"34,71","44,36","37,73","96,44"
1302009,"-513,78253","-277,19224",itapiranga,AM,"29,84","21,43","8,52","93,65"
1302108,"-1593,7475","-193,50973",japura,AM,"23,73","54,98","28,03","93,28"
1302207,"-1367,3693","-398,84452",jurua,AM,"26,48","47,36","33,71","92,02"
1302306,"-1597,7652","-538,34938",jutai,AM,"38,69","41,35","28,14","99,72"
1302405,"-1300,8444","-945,82188",labrea,AM,"13,65","35,79","28,59","95,58"
1302504,"-773,3202","-366,65488",manacapuru,AM,"26,44","29,32","15,58","83,70"
1302553,"-743,9202","-420,78812",manaquiri,AM,"26,27","69,03","10,63","94,13"
1302603,"-696,08861","-292,09244",manaus,AM,"2,50","0,51","3,79","49,73"
1302702,"-823,58046","-720,18612",manicore,AM,"23,39","56,72","16,78","95,05"
1302801,"-1227,7474","-273,32212",maraa,AM,"20,28","50,06","18,06","80,48"
1302900,"-450,19496","-552,52909",maues,AM,"25,54","50,55","10,33","71,51"
1303007,"-406,93348","-186,1008",nhamunda,AM,"30,21","61,65","8,92","83,95"
1303106,"-511,0447","-442,4314",nova olinda do norte,AM,"31,20","55,61","12,82","86,47"
1303205,"-858,32763","-212,74566",novo airao,AM,"26,45","35,48","15,52","86,77"
1303304,"-715,64935","-759,42503",novo aripuana,AM,"28,60","34,39","19,75","92,06"
1303403,"-317,36338","-297,63753",parintins,AM,"25,34","31,50","6,03","80,62"
1303502,"-1566,0809","-884,1174",pauini,AM,"38,32","49,00","29,66","86,29"
1303536,"-665,62253","-137,68169",presidente figueiredo,AM,"6,24","52,16","7,24","67,12"
1303569,"-627,03388","-281,09665",rio preto da eva,AM,"11,91","52,54","11,23","94,16"
1303601,"-1282,7165","-36,194876",santa isabel do rio negro,AM,"25,23","62,22","33,06","92,90"
1303700,"-1677,271","-349,16507",santo antonio do ica,AM,"37,70","47,11","21,26","97,69"
1303809,"-1558,4318","42,798101",sao gabriel da cachoeira,AM,"25,67","49,72","14,67","92,09"
1303908,"-1714,374","-515,72021",sao paulo de olivenca,AM,"30,63","54,61","22,92","99,95"
1303957,"-523,18997","-215,88433",sao sebastiao do uatuma,AM,"34,32","44,85","10,16","98,36"
1304005,"-504,3599","-313,03394",silves,AM,"16,04","52,29","7,76","95,27"
1304062,"-1741,2485","-462,11451",tabatinga,AM,"23,45","30,45","14,42","90,20"
1304104,"-1206,3886","-687,6631",tapaua,AM,"33,37","44,34","30,97","87,72"
1304203,"-1279,5073","-504,4019",tefe,AM,"23,06","18,52","14,22","75,12"
1304237,"-1537,662","-306,37644",tonantins,AM,"29,87","47,90","19,91","98,18"
1304260,"-1268,4021","-357,2272",uarini,AM,"16,99","42,86","18,92","88,32"
1304302,"-559,91034","-99,077624",urucara,AM,"29,10","42,17","8,04","91,35"
1304401,"-419,18534","-311,64942",urucurituba,AM,"35,58","41,43","9,18","79,37"
1400027,"-937,49064","417,33824",amajari,RR,"15,99","86,93","38,68","94,64"
1400050,"-973,47662","344,42646",alto alegre,RR,"15,93","70,94","40,13","88,81"
1400100,"-746,72672","347,13674",boa vista,RR,"5,91","2,29","5,83","46,01"
1400159,"-678,24383","309,93658",bonfim,RR,"14,17","66,09","13,26","72,60"
1400175,"-727,68887","252,96165",canta,RR,"13,56","83,76","17,20","96,81"
1400209,"-831,73648","110,34776",caracarai,RR,"15,24","40,70","13,32","47,47"
1400233,"-594,15335","101,5994",caroebe,RR,"18,50","59,03","12,18","86,82"
1400282,"-942,19768","244,51503",iracema,RR,"1,36","53,10","30,23","60,95"
1400308,"-887,9765","280,27952",mucajai,RR,"16,56","39,60","17,20","96,86"
1400407,"-673,60969","431,32559",normandia,RR,"16,68","74,15","12,28","89,54"
1400456,"-759,34499","464,26306",pacaraima,RR,"15,20","56,73","9,79","76,76"
1400472,"-780,41147","4,169441",rorainopolis,RR,"14,50","56,04","14,54","95,00"
1400506,"-650,59805","70,65764",sao joao da baliza,RR,"18,87","29,75","11,56","84,32"
1400605,"-684,72165","98,352691",sao luiz,RR,"17,63","34,00","12,20","71,39"
1400704,"-696,83379","521,04051",uiramuta,RR,"26,06","86,41","28,24","97,92"
1500107,"569,35683","-192,09487",abaetetuba,PA,"37,75","41,18","13,71","93,38"
1500131,"618,32891","-550,78186",abel figueiredo,PA,"17,09","11,00","17,76","92,19"
1500206,"621,73069","-226,12859",acara,PA,"27,38","76,44","21,31","98,21"
1500305,"364,26836","-29,221077",afua,PA,"38,14","72,95","28,88","97,25"
