country,abbr,area,population,independence,monarchy,catholic,protestant,marxist,energy,radios,tvs,civwar,intwar,war,nyt,vanderbilt,facts,riots,strikes,protests,coups76,coups77,coups78,coups79,coups80
Afghanistan,AFGN,647000,15816,1919,0,0,0,1,43,82,69,1,0,1,3915,693,360,0.01,0.01,3,0,0,1,2,0
Albania,ALBN,29000,2645,1912,0,0,0,1,841,1062,565,0,0,0,72,0,5,0.01,0.01,0.01,0,0,0,0,0
Algeria,ALGR,2.40E+06,19762,1962,0,0,0,0,530,1735,2656,0,0,0,663,70,32,0.01,0.01,0.01,0,0,0,0,0
Andorra,ANDO,467,36,,1,1,0,0,,1944,10166,0,0,0,21,0,0,,,,0,0,0,0,0
Angola,ANGL,1.20E+06,7588,1975,0,0,0,1,95,191,263,1,0,1,311,7,15,,,,0,0,0,0,0
Antigua and Barbuda,ANTI,,,1981,1,0,1,0,,,,0,0,0,97,0,2,,,,,,,,
Argentina,ARGN,2.80E+06,27947,1816,0,1,0,0,1232,3220,18391,0,0,0,906,16,49,6,9,18,1,0,0,0,0
Aruba,ARUB,,,,0,99,99,0,,,,0,0,0,61,0,0,,,,,,,,
Australia,AUSL,7.70E+06,14616,1901,1,0,0,0,4223,10262,37801,0,0,0,1565,48,181,0.01,2,12,0,0,0,0,0
Austria,AUST,84000,7530,1775,0,1,0,0,2904,5086,39176,0,0,0,692,37,51,0.01,0.01,6,0,0,0,0,0
Bahamas,BHMS,13935,210,1973,1,0,1,0,4085,5238,14857,0,0,0,455,28,15,,,,0,0,0,0,0
Bahrain,BHRN,668,345,1971,1,0,0,0,11156,3623,26086,0,0,0,151,0,3,,,,0,0,0,0,0
Bangladesh,BNGL,144000,87013,1972,0,0,0,0,32,172,91,0,0,0,306,5,13,0.01,0.01,4,0,0,0,0,0
Barbados,BRBD,431,252,1966,1,0,1,0,1357,5873,19841,0,0,0,161,5,2,,,,0,0,0,0,0
Belgium,BLGM,31000,9826,1831,1,1,0,0,4240,7327,38825,0,0,0,684,37,60,3,0.01,6,0,0,0,0,0
Belize,BELI,,,1981,1,0,0,0,,,,0,0,0,22,1,0,,,,,,,,
Benin,BNIN,113000,3440,1960,0,0,0,1,36,593,363,0,0,0,45,0,2,2,0.01,0.01,0,0,0,0,0
Bhutan,BHTN,47000,480,1775,1,0,0,0,16,145,0,0,0,0,27,0,0,0.01,0.01,0.01,0,0,0,0,0
Bolivia,BOLV,1.10E+06,5600,1825,0,1,0,0,227,5000,5357,0,0,0,302,7,60,5,21,10,0,0,1,1,1
Bophuthatswana,BOPH,,,,0,99,99,0,,,,0,0,0,16,0,5,,,,,,,,
Botswana,BTSN,600000,889,1966,0,0,1,0,,1023,0,0,0,0,77,2,3,,,,0,0,0,0,0
Brazil,BRZL,8.50E+06,119070,1822,0,1,0,0,550,1258,12597,0,0,0,1194,31,69,5,6,4,0,0,0,0,0
Brunei,BRUN,5765,185,1984,1,0,0,0,11464,1891,14729,0,0,0,15,0,0,,,,0,0,0,0,0
Bulgaria,BLGR,111000,8835,1908,0,0,0,1,3985,3961,24335,0,0,0,237,6,12,0.01,0.01,0.01,0,0,0,0,0
Burkina Faso,UPVL,274000,6908,1960,0,0,0,0,20,159,144,0,0,0,44,1,5,0.01,1,1,0,0,0,0,1
Burma,BRMA,678000,33640,1948,0,0,0,0,46,230,2,1,0,1,170,1,4,0.01,2,5,0,0,0,0,0
Burundi,BRND,28000,4118,1962,0,1,0,0,9,388,0,0,0,0,30,0,1,0.01,0.01,0.01,1,0,0,0,0
Cambodia,KMPC,181000,7163,1954,0,0,0,1,13,837,488,1,1,1,657,46,48,1,0.01,1,0,0,1,0,0
Cameroon,CMRN,475000,8678,1960,0,0,0,0,76,875,0,0,0,0,61,1,3,0.01,0.01,0.01,0,0,0,0,0
Canada,CNDA,1.00E+07,23936,1867,1,0,0,0,7170,7408,44355,0,0,0,4040,148,415,2,3,8,0,0,0,0,0
Cape Verde,CVRD,4033,296,1975,0,1,0,0,192,1385,0,0,0,0,46,0,2,,,,0,0,0,0,0
Central African Republic,CAFR,623000,2221,1960,0,0,1,0,30,351,18,0,0,0,32,0,7,10,2,1,0,0,0,1,0
Chad,CHAD,1.30E+06,4524,1960,0,0,0,0,15,1657,3,1,0,1,192,7,11,7,4,1,0,0,0,0,0
Chile,CHLE,757000,11104,1818,0,1,0,0,689,2926,11032,0,0,0,561,9,41,1,2,18,0,0,0,0,0
China,CHNA,9.60E+06,982557,1775,0,0,0,1,402,966,918,0,1,1,4017,258,180,4,0.01,34,0,0,0,0,0
Ciskei,CISK,,,,0,99,99,0,,,,0,0,0,15,0,0,,,,,,,,
Colombia,CLMB,1.10E+06,26822,1819,0,1,0,0,552,1230,8388,0,0,0,469,100,55,20,6,24,0,0,0,0,0
Comoros,CMRS,1862,335,1975,0,0,0,0,32,1134,0,0,0,0,11,0,0,,,,0,0,1,0,0
Congo,CNGO,342000,1602,1960,0,1,0,1,58,574,218,0,0,0,95,5,5,0.01,0.01,0.01,0,0,0,0,0
Costa Rica,CRCA,51000,2245,1838,0,1,0,0,411,846,7438,0,0,0,250,17,19,7,2,0.01,0,0,0,0,0
Cuba,CUBA,111000,9629,1901,0,1,0,1,948,2201,7269,0,1,1,1573,200,193,0.01,0.01,1,0,0,0,0,0
Cyprus,CYPR,9251,629,1960,0,0,0,0,1340,3131,24969,0,0,0,275,1,9,,,,0,0,0,0,0
"Cyprus, Northern",CYPT,,,,0,99,99,0,,,,0,0,0,11,0,0,,,,,,,,
"Cyprus, Southern",CYPG,,,,99,99,99,99,,,,,,0,,,,,,,,,,,
Czechoslovakia,CZCH,128000,15283,1918,0,0,0,1,4548,4277,38997,0,0,0,812,29,44,2,1,13,0,0,0,0,0
Denmark,DNMK,43000,5121,1775,1,0,1,0,3655,8098,49794,0,0,0,476,2,26,0.01,1,0.01,0,0,0,0,0
Djibouti,DJIB,23200,285,1977,0,0,0,0,228,596,3684,0,0,0,44,1,2,,,,,0,0,0,0
Dominica,DOMI,750,74,1978,0,1,0,0,175,4729,0,0,0,0,54,0,1,,,,,,0,0,0
Dominican Republic,DMNR,49000,5431,1844,0,1,0,0,311,405,7088,0,0,0,283,8,26,2,0.01,0.01,0,0,0,0,0
Ecuador,ECDR,284000,7964,1830,0,1,0,0,438,1533,5022,0,0,0,190,5,15,8,6,0.01,1,0,0,0,0
Egypt,EGPT,1.00E+06,41959,1922,0,0,0,0,347,1429,3336,0,0,0,1950,239,67,4,0.01,10,0,0,0,0,0
El Salvador,ELSL,21393,4508,1838,0,1,0,0,171,1723,6268,1,0,1,560,95,165,4,0.01,5,0,0,0,1,0
Ethiopia,ETHP,1.20E+06,33859,1775,0,0,0,1,18,886,88,0,1,1,373,16,28,7,0.01,6,0,0,0,0,0
Fiji,FIJI,18272,631,1970,0,0,0,0,450,4881,0,0,0,0,86,0,4,,,,0,0,0,0,0
Finland,FNLD,337000,4783,1918,0,0,1,0,3592,8362,41396,0,0,0,397,8,16,0.01,0.01,2,0,0,0,0,0
France,FRNC,547000,53588,1775,0,1,0,0,3052,7445,32899,0,0,0,6604,165,339,21,19,57,0,0,0,0,0
Gabon,GBON,268000,1134,1960,0,1,0,0,630,925,1181,0,0,0,59,0,4,,,,0,0,0,0,0
Gambia,GMBA,11295,601,1965,0,0,0,0,89,1081,0,0,0,0,48,1,1,,,,0,0,0,0,0
"Germany, East",GDR,108000,16721,1871,0,0,0,1,5192,5364,51432,0,0,0,725,44,63,0.01,0.01,13,0,0,0,0,0
"Germany, West",FRG,248000,61561,1871,0,0,0,0,4008,8934,43858,0,0,0,4326,148,320,9,0.01,42,0,0,0,0,0
Ghana,GHNA,239000,11450,1957,0,0,1,0,80,1633,494,0,0,0,113,4,3,5,15,2,0,0,1,0,0
Greece,GRCE,132000,9599,1830,0,0,0,0,1496,3646,17189,0,0,0,826,19,56,17,4,41,0,0,0,0,0
Grenada,GRND,344,89,1974,1,1,0,1,168,3146,0,0,0,0,89,2,5,,,,0,0,0,1,0
Guatemala,GTML,109000,6640,1813,0,1,0,0,211,483,2635,1,0,1,355,10,23,3,1,7,0,0,0,0,0
